Code,Area,Year,Qualifications of working age population (16-64),number,denominator,percent,confidence
E09000027,Richmond upon Thames,2007,NVQ4+,"67,500","121,000",55.8,4.1
E09000028,Southwark,2007,NVQ4+,"82,000","192,500",42.6,4
E09000029,Sutton,2007,NVQ4+,"36,300","117,400",30.9,4.3
E09000030,Tower Hamlets,2007,NVQ4+,"50,100","158,700",31.6,3.8
E09000031,Waltham Forest,2007,NVQ4+,"46,200","155,600",29.7,4
E09000032,Wandsworth,2007,NVQ4+,"119,700","214,000",55.9,4.6
E09000033,Westminster,2007,NVQ4+,"87,400","163,400",53.5,3.7
E12000001,North East,2007,NVQ4+,"388,300","1,594,600",24.3,0.8
E12000002,North West,2007,NVQ4+,"1,096,400","4,314,800",25.4,0.5
E12000003,Yorkshire and The Humber,2007,NVQ4+,"767,400","3,215,000",23.9,0.7
E12000004,East Midlands,2007,NVQ4+,"699,700","2,740,500",25.5,0.8
E12000005,West Midlands,2007,NVQ4+,"825,600","3,355,400",24.6,0.7
E12000006,East,2007,NVQ4+,"901,700","3,467,300",26,0.7
E12000007,London,2007,NVQ4+,"1,914,600","5,160,700",37.1,0.7
E12000008,South East,2007,NVQ4+,"1,589,800","5,163,200",30.8,0.6
E12000009,South West,2007,NVQ4+,"909,900","3,125,900",29.1,0.7
E92000001,England,2007,NVQ4+,"9,093,300","32,137,500",28.3,0.2
W92000004,Wales,2007,NVQ4+,"467,900","1,834,800",25.5,0.6
S92000003,Scotland,2007,NVQ4+,"1,072,300","3,246,900",33,0.5
N92000002,Northern Ireland,2007,NVQ4+,"274,900","1,098,200",25,1.3
K04000001,England and Wales,2007,NVQ4+,"9,561,200","33,972,200",28.1,0.2
K03000001,Great Britain,2007,NVQ4+,"10,633,500","37,219,100",28.6,0.2
K02000001,United Kingdom,2007,NVQ4+,"10,908,400","38,317,300",28.5,0.2
E09000001,City of London,2007,NVQ3 only,!,"3,400",!,!
E09000002,Barking and Dagenham,2007,NVQ3 only,"11,200","103,500",10.9,2.6
E09000003,Barnet,2007,NVQ3 only,"25,400","214,800",11.8,2.6
E09000004,Bexley,2007,NVQ3 only,"20,000","138,000",14.5,2.9
E09000005,Brent,2007,NVQ3 only,"14,700","189,100",7.8,2.4
E09000006,Bromley,2007,NVQ3 only,"32,200","186,900",17.2,3.2
E09000007,Camden,2007,NVQ3 only,"17,800","149,700",11.9,2.3
E09000008,Croydon,2007,NVQ3 only,"34,000","222,800",15.3,3
E09000009,Ealing,2007,NVQ3 only,"23,700","215,400",11,2.5
E09000010,Enfield,2007,NVQ3 only,"28,100","185,800",15.1,3.1
E09000011,Greenwich,2007,NVQ3 only,"21,600","156,400",13.8,2.8
E09000012,Hackney,2007,NVQ3 only,"15,300","155,400",9.9,2.3
E09000013,Hammersmith and Fulham,2007,NVQ3 only,"10,800","128,900",8.4,2.4
E09000014,Haringey,2007,NVQ3 only,"12,100","163,500",7.4,2.2
E09000015,Harrow,2007,NVQ3 only,"19,200","145,600",13.2,2.9
E09000016,Havering,2007,NVQ3 only,"21,700","140,000",15.5,3
E09000017,Hillingdon,2007,NVQ3 only,"24,000","164,800",14.6,3.1
E09000018,Hounslow,2007,NVQ3 only,"16,700","160,000",10.4,2.5
E09000019,Islington,2007,NVQ3 only,"13,200","136,100",9.7,2.3
E09000020,Kensington and Chelsea,2007,NVQ3 only,"14,500","114,600",12.7,2.9
E09000021,Kingston upon Thames,2007,NVQ3 only,"16,900","104,400",16.2,3.3
E09000022,Lambeth,2007,NVQ3 only,"22,700","205,100",11.1,2.4
E09000023,Lewisham,2007,NVQ3 only,"30,400","178,400",17,3
E09000024,Merton,2007,NVQ3 only,"14,000","131,400",10.7,2.6
E09000025,Newham,2007,NVQ3 only,"18,300","177,400",10.3,2.4
E09000026,Redbridge,2007,NVQ3 only,"20,000","166,800",12,2.8
E09000027,Richmond upon Thames,2007,NVQ3 only,"14,300","121,000",11.8,2.7
E09000028,Southwark,2007,NVQ3 only,"27,300","192,500",14.2,2.9
E09000029,Sutton,2007,NVQ3 only,"15,200","117,400",12.9,3.1
E09000030,Tower Hamlets,2007,NVQ3 only,"17,500","158,700",11,2.5
E09000031,Waltham Forest,2007,NVQ3 only,"21,700","155,600",13.9,3.1
E09000032,Wandsworth,2007,NVQ3 only,"23,900","214,000",11.2,2.9
E09000033,Westminster,2007,NVQ3 only,"18,600","163,400",11.4,2.4
E12000001,North East,2007,NVQ3 only,"266,300","1,594,600",16.7,0.7
E12000002,North West,2007,NVQ3 only,"691,300","4,314,800",16,0.4
E12000003,Yorkshire and The Humber,2007,NVQ3 only,"500,800","3,215,000",15.6,0.6
E12000004,East Midlands,2007,NVQ3 only,"432,700","2,740,500",15.8,0.7
E12000005,West Midlands,2007,NVQ3 only,"510,600","3,355,400",15.2,0.6
E12000006,East,2007,NVQ3 only,"511,300","3,467,300",14.7,0.6
E12000007,London,2007,NVQ3 only,"637,900","5,160,700",12.4,0.5
E12000008,South East,2007,NVQ3 only,"851,200","5,163,200",16.5,0.5
E12000009,South West,2007,NVQ3 only,"549,200","3,125,900",17.6,0.6
E92000001,England,2007,NVQ3 only,"4,951,200","32,137,500",15.4,0.2
W92000004,Wales,2007,NVQ3 only,"293,200","1,834,800",16,0.5
S92000003,Scotland,2007,NVQ3 only,"498,400","3,246,900",15.3,0.4
N92000002,Northern Ireland,2007,NVQ3 only,"154,900","1,098,200",14.1,1
K04000001,England and Wales,2007,NVQ3 only,"5,244,400","33,972,200",15.4,0.2
K03000001,Great Britain,2007,NVQ3 only,"5,742,800","37,219,100",15.4,0.2
K02000001,United Kingdom,2007,NVQ3 only,"5,897,700","38,317,300",15.4,0.2
E09000001,City of London,2007,Trade Apprenticeships,!,"3,400",!,!
E09000002,Barking and Dagenham,2007,Trade Apprenticeships,"3,600","103,500",3.5,1.5
E09000003,Barnet,2007,Trade Apprenticeships,"3,000","214,800",1.4,*
E09000004,Bexley,2007,Trade Apprenticeships,"4,300","138,000",3.1,1.4
E09000005,Brent,2007,Trade Apprenticeships,"3,000","189,100",1.6,*
E09000006,Bromley,2007,Trade Apprenticeships,"4,800","186,900",2.6,1.3
E09000007,Camden,2007,Trade Apprenticeships,"2,400","149,700",1.6,0.9
E09000008,Croydon,2007,Trade Apprenticeships,"6,000","222,800",2.7,1.4
E09000009,Ealing,2007,Trade Apprenticeships,"4,100","215,400",1.9,1.1
E09000010,Enfield,2007,Trade Apprenticeships,"5,400","185,800",2.9,1.4
E09000011,Greenwich,2007,Trade Apprenticeships,"2,500","156,400",1.6,*
E09000012,Hackney,2007,Trade Apprenticeships,"2,500","155,400",1.6,1
E09000013,Hammersmith and Fulham,2007,Trade Apprenticeships,"2,400","128,900",1.9,1.2
E09000014,Haringey,2007,Trade Apprenticeships,"3,400","163,500",2.1,1.2
E09000015,Harrow,2007,Trade Apprenticeships,"3,200","145,600",2.2,1.3
E09000016,Havering,2007,Trade Apprenticeships,"4,900","140,000",3.5,1.5
E09000017,Hillingdon,2007,Trade Apprenticeships,"4,500","164,800",2.8,1.4
E09000018,Hounslow,2007,Trade Apprenticeships,"3,200","160,000",2,1.2
E09000019,Islington,2007,Trade Apprenticeships,"2,000","136,100",1.5,0.9
E09000020,Kensington and Chelsea,2007,Trade Apprenticeships,"1,900","114,600",1.7,*
E09000021,Kingston upon Thames,2007,Trade Apprenticeships,"1,800","104,400",1.7,*
E09000022,Lambeth,2007,Trade Apprenticeships,!,"205,100",!,!
E09000023,Lewisham,2007,Trade Apprenticeships,"3,000","178,400",1.7,1
E09000024,Merton,2007,Trade Apprenticeships,"2,500","131,400",1.9,1.1
E09000025,Newham,2007,Trade Apprenticeships,"1,100","177,400",0.6,*
E09000026,Redbridge,2007,Trade Apprenticeships,"4,400","166,800",2.7,1.4
E09000027,Richmond upon Thames,2007,Trade Apprenticeships,"3,600","121,000",3,1.4
E09000028,Southwark,2007,Trade Apprenticeships,"1,700","192,500",0.9,*
E09000029,Sutton,2007,Trade Apprenticeships,"3,500","117,400",3,1.6
E09000030,Tower Hamlets,2007,Trade Apprenticeships,"1,500","158,700",0.9,*
E09000031,Waltham Forest,2007,Trade Apprenticeships,"2,900","155,600",1.9,*
E09000032,Wandsworth,2007,Trade Apprenticeships,"3,200","214,000",1.5,*
E09000033,Westminster,2007,Trade Apprenticeships,700,"163,400",0.4,*
E12000001,North East,2007,Trade Apprenticeships,"101,600","1,594,600",6.4,0.4
E12000002,North West,2007,Trade Apprenticeships,"212,800","4,314,800",4.9,0.3
E12000003,Yorkshire and The Humber,2007,Trade Apprenticeships,"168,500","3,215,000",5.2,0.3
E12000004,East Midlands,2007,Trade Apprenticeships,"134,500","2,740,500",4.9,0.4
E12000005,West Midlands,2007,Trade Apprenticeships,"130,600","3,355,400",3.9,0.3
E12000006,East,2007,Trade Apprenticeships,"165,700","3,467,300",4.8,0.4
E12000007,London,2007,Trade Apprenticeships,"97,800","5,160,700",1.9,0.2
E12000008,South East,2007,Trade Apprenticeships,"216,100","5,163,200",4.2,0.3
E12000009,South West,2007,Trade Apprenticeships,"148,000","3,125,900",4.7,0.3
E92000001,England,2007,Trade Apprenticeships,"1,375,600","32,137,500",4.3,0.1
W92000004,Wales,2007,Trade Apprenticeships,"80,700","1,834,800",4.4,0.3
S92000003,Scotland,2007,Trade Apprenticeships,"201,300","3,246,900",6.2,0.3
N92000002,Northern Ireland,2007,Trade Apprenticeships,"84,300","1,098,200",7.7,0.8
K04000001,England and Wales,2007,Trade Apprenticeships,"1,456,300","33,972,200",4.3,0.1
K03000001,Great Britain,2007,Trade Apprenticeships,"1,657,600","37,219,100",4.5,0.1
K02000001,United Kingdom,2007,Trade Apprenticeships,"1,741,900","38,317,300",4.5,0.1
E09000001,City of London,2007,NVQ2 only,!,"3,400",!,!
E09000002,Barking and Dagenham,2007,NVQ2 only,"14,800","103,500",14.3,2.9
E09000003,Barnet,2007,NVQ2 only,"23,800","214,800",11.1,2.5
E09000004,Bexley,2007,NVQ2 only,"30,100","138,000",21.8,3.4
E09000005,Brent,2007,NVQ2 only,"21,000","189,100",11.1,2.8
E09000006,Bromley,2007,NVQ2 only,"32,700","186,900",17.5,3.2
E09000007,Camden,2007,NVQ2 only,"11,700","149,700",7.8,1.9
E09000008,Croydon,2007,NVQ2 only,"31,800","222,800",14.3,2.9
E09000009,Ealing,2007,NVQ2 only,"18,400","215,400",8.5,2.2
E09000010,Enfield,2007,NVQ2 only,"20,400","185,800",11,2.7
E09000011,Greenwich,2007,NVQ2 only,"22,000","156,400",14.1,2.8
E09000012,Hackney,2007,NVQ2 only,"16,200","155,400",10.4,2.4
E09000013,Hammersmith and Fulham,2007,NVQ2 only,"8,900","128,900",6.9,2.2
E09000014,Haringey,2007,NVQ2 only,"15,400","163,500",9.4,2.4
E09000015,Harrow,2007,NVQ2 only,"17,800","145,600",12.2,2.8
E09000016,Havering,2007,NVQ2 only,"23,100","140,000",16.5,3.1
E09000017,Hillingdon,2007,NVQ2 only,"21,800","164,800",13.2,2.9
E09000018,Hounslow,2007,NVQ2 only,"18,700","160,000",11.7,2.7
E09000019,Islington,2007,NVQ2 only,"17,500","136,100",12.8,2.6
E09000020,Kensington and Chelsea,2007,NVQ2 only,"7,100","114,600",6.2,2.1
E09000021,Kingston upon Thames,2007,NVQ2 only,"12,300","104,400",11.8,2.9
E09000022,Lambeth,2007,NVQ2 only,"18,100","205,100",8.8,2.2
E09000023,Lewisham,2007,NVQ2 only,"25,400","178,400",14.2,2.8
E09000024,Merton,2007,NVQ2 only,"15,200","131,400",11.6,2.7
E09000025,Newham,2007,NVQ2 only,"18,800","177,400",10.6,2.4
E09000026,Redbridge,2007,NVQ2 only,"16,800","166,800",10.1,2.6
E09000027,Richmond upon Thames,2007,NVQ2 only,"11,300","121,000",9.3,2.4
E09000028,Southwark,2007,NVQ2 only,"20,900","192,500",10.9,2.5
E09000029,Sutton,2007,NVQ2 only,"22,900","117,400",19.5,3.7
E09000030,Tower Hamlets,2007,NVQ2 only,"12,500","158,700",7.8,2.2
E09000031,Waltham Forest,2007,NVQ2 only,"18,000","155,600",11.6,2.8
E09000032,Wandsworth,2007,NVQ2 only,"17,200","214,000",8.1,2.5
E09000033,Westminster,2007,NVQ2 only,"14,700","163,400",9,2.1
E12000001,North East,2007,NVQ2 only,"284,800","1,594,600",17.9,0.7
E12000002,North West,2007,NVQ2 only,"748,400","4,314,800",17.3,0.5
E12000003,Yorkshire and The Humber,2007,NVQ2 only,"522,200","3,215,000",16.2,0.6
E12000004,East Midlands,2007,NVQ2 only,"434,900","2,740,500",15.9,0.7
E12000005,West Midlands,2007,NVQ2 only,"574,700","3,355,400",17.1,0.6
E12000006,East,2007,NVQ2 only,"568,100","3,467,300",16.4,0.6
E12000007,London,2007,NVQ2 only,"597,100","5,160,700",11.6,0.5
E12000008,South East,2007,NVQ2 only,"847,800","5,163,200",16.4,0.5
E12000009,South West,2007,NVQ2 only,"514,300","3,125,900",16.5,0.6
E92000001,England,2007,NVQ2 only,"5,092,500","32,137,500",15.8,0.2
W92000004,Wales,2007,NVQ2 only,"323,100","1,834,800",17.6,0.5
S92000003,Scotland,2007,NVQ2 only,"456,200","3,246,900",14.1,0.4
N92000002,Northern Ireland,2007,NVQ2 only,"184,700","1,098,200",16.8,1.1
K04000001,England and Wales,2007,NVQ2 only,"5,415,500","33,972,200",15.9,0.2
K03000001,Great Britain,2007,NVQ2 only,"5,871,800","37,219,100",15.8,0.2
K02000001,United Kingdom,2007,NVQ2 only,"6,056,500","38,317,300",15.8,0.2
E09000001,City of London,2007,NVQ1 only,!,"3,400",!,!
E09000002,Barking and Dagenham,2007,NVQ1 only,"16,300","103,500",15.7,3.1
E09000003,Barnet,2007,NVQ1 only,"20,100","214,800",9.4,2.3
E09000004,Bexley,2007,NVQ1 only,"25,200","138,000",18.2,3.2
E09000005,Brent,2007,NVQ1 only,"13,700","189,100",7.2,2.3
E09000006,Bromley,2007,NVQ1 only,"25,300","186,900",13.5,2.9
E09000007,Camden,2007,NVQ1 only,"8,900","149,700",6,1.7
E09000008,Croydon,2007,NVQ1 only,"23,700","222,800",10.6,2.6
E09000009,Ealing,2007,NVQ1 only,"13,100","215,400",6.1,1.9
E09000010,Enfield,2007,NVQ1 only,"21,400","185,800",11.5,2.7
E09000011,Greenwich,2007,NVQ1 only,"19,100","156,400",12.2,2.6
E09000012,Hackney,2007,NVQ1 only,"15,200","155,400",9.8,2.3
E09000013,Hammersmith and Fulham,2007,NVQ1 only,"7,600","128,900",5.9,2
E09000014,Haringey,2007,NVQ1 only,"13,000","163,500",8,2.2
E09000015,Harrow,2007,NVQ1 only,"13,300","145,600",9.1,2.5
E09000016,Havering,2007,NVQ1 only,"28,200","140,000",20.1,3.3
E09000017,Hillingdon,2007,NVQ1 only,"24,700","164,800",15,3.1
E09000018,Hounslow,2007,NVQ1 only,"18,000","160,000",11.2,2.6
E09000019,Islington,2007,NVQ1 only,"12,400","136,100",9.1,2.2
E09000020,Kensington and Chelsea,2007,NVQ1 only,"4,900","114,600",4.3,1.8
E09000021,Kingston upon Thames,2007,NVQ1 only,"9,100","104,400",8.7,2.5
E09000022,Lambeth,2007,NVQ1 only,"13,000","205,100",6.4,1.9
E09000023,Lewisham,2007,NVQ1 only,"16,600","178,400",9.3,2.3
E09000024,Merton,2007,NVQ1 only,"12,400","131,400",9.5,2.4
E09000025,Newham,2007,NVQ1 only,"18,100","177,400",10.2,2.4
E09000026,Redbridge,2007,NVQ1 only,"16,100","166,800",9.7,2.6
E09000027,Richmond upon Thames,2007,NVQ1 only,"7,200","121,000",6,2
E09000028,Southwark,2007,NVQ1 only,"12,500","192,500",6.5,2
E09000029,Sutton,2007,NVQ1 only,"13,800","117,400",11.8,3
E09000030,Tower Hamlets,2007,NVQ1 only,"20,200","158,700",12.7,2.7
E09000031,Waltham Forest,2007,NVQ1 only,"16,700","155,600",10.7,2.7
E09000032,Wandsworth,2007,NVQ1 only,"7,300","214,000",3.4,1.7
E09000033,Westminster,2007,NVQ1 only,"8,600","163,400",5.3,1.7
E12000001,North East,2007,NVQ1 only,"221,800","1,594,600",13.9,0.6
E12000002,North West,2007,NVQ1 only,"616,600","4,314,800",14.3,0.4
E12000003,Yorkshire and The Humber,2007,NVQ1 only,"505,900","3,215,000",15.7,0.6
E12000004,East Midlands,2007,NVQ1 only,"427,700","2,740,500",15.6,0.7
E12000005,West Midlands,2007,NVQ1 only,"477,600","3,355,400",14.2,0.5
E12000006,East,2007,NVQ1 only,"553,900","3,467,300",16,0.6
E12000007,London,2007,NVQ1 only,"495,500","5,160,700",9.6,0.4
E12000008,South East,2007,NVQ1 only,"728,500","5,163,200",14.1,0.4
E12000009,South West,2007,NVQ1 only,"455,200","3,125,900",14.6,0.6
E92000001,England,2007,NVQ1 only,"4,482,800","32,137,500",13.9,0.2
W92000004,Wales,2007,NVQ1 only,"252,700","1,834,800",13.8,0.5
S92000003,Scotland,2007,NVQ1 only,"334,500","3,246,900",10.3,0.3
N92000002,Northern Ireland,2007,NVQ1 only,"117,600","1,098,200",10.7,0.9
K04000001,England and Wales,2007,NVQ1 only,"4,735,400","33,972,200",13.9,0.2
K03000001,Great Britain,2007,NVQ1 only,"5,070,000","37,219,100",13.6,0.1
K02000001,United Kingdom,2007,NVQ1 only,"5,187,600","38,317,300",13.5,0.1
E09000001,City of London,2007,with other qualifications,!,"3,400",!,!
E09000002,Barking and Dagenham,2007,with other qualifications,"13,800","103,500",13.4,2.9
E09000003,Barnet,2007,with other qualifications,"32,800","214,800",15.3,2.9
E09000004,Bexley,2007,with other qualifications,"9,800","138,000",7.1,2.1
E09000005,Brent,2007,with other qualifications,"68,400","189,100",36.2,4.4
E09000006,Bromley,2007,with other qualifications,"11,600","186,900",6.2,2
E09000007,Camden,2007,with other qualifications,"17,400","149,700",11.6,2.3
E09000008,Croydon,2007,with other qualifications,"24,700","222,800",11.1,2.6
E09000009,Ealing,2007,with other qualifications,"47,200","215,400",21.9,3.3
E09000010,Enfield,2007,with other qualifications,"29,500","185,800",15.9,3.1
E09000011,Greenwich,2007,with other qualifications,"20,500","156,400",13.1,2.7
E09000012,Hackney,2007,with other qualifications,"19,300","155,400",12.4,2.6
E09000013,Hammersmith and Fulham,2007,with other qualifications,"17,900","128,900",13.9,3
E09000014,Haringey,2007,with other qualifications,"27,300","163,500",16.7,3.1
E09000015,Harrow,2007,with other qualifications,"31,100","145,600",21.4,3.5
E09000016,Havering,2007,with other qualifications,"12,700","140,000",9,2.4
E09000017,Hillingdon,2007,with other qualifications,"25,800","164,800",15.6,3.2
E09000018,Hounslow,2007,with other qualifications,"29,800","160,000",18.6,3.2
E09000019,Islington,2007,with other qualifications,"11,000","136,100",8.1,2.1
E09000020,Kensington and Chelsea,2007,with other qualifications,"20,200","114,600",17.6,3.4
E09000021,Kingston upon Thames,2007,with other qualifications,"8,200","104,400",7.8,2.4
E09000022,Lambeth,2007,with other qualifications,"26,800","205,100",13.1,2.6
E09000023,Lewisham,2007,with other qualifications,"25,900","178,400",14.5,2.8
E09000024,Merton,2007,with other qualifications,"22,600","131,400",17.2,3.1
E09000025,Newham,2007,with other qualifications,"39,900","177,400",22.5,3.3
E09000026,Redbridge,2007,with other qualifications,"23,700","166,800",14.2,3.1
E09000027,Richmond upon Thames,2007,with other qualifications,"10,900","121,000",9,2.4
E09000028,Southwark,2007,with other qualifications,"17,800","192,500",9.2,2.4
E09000029,Sutton,2007,with other qualifications,"8,800","117,400",7.5,2.5
E09000030,Tower Hamlets,2007,with other qualifications,"27,000","158,700",17,3
E09000031,Waltham Forest,2007,with other qualifications,"18,700","155,600",12,2.9
E09000032,Wandsworth,2007,with other qualifications,"31,000","214,000",14.5,3.2
E09000033,Westminster,2007,with other qualifications,"17,600","163,400",10.8,2.3
E12000001,North East,2007,with other qualifications,"108,200","1,594,600",6.8,0.4
E12000002,North West,2007,with other qualifications,"295,100","4,314,800",6.8,0.3
E12000003,Yorkshire and The Humber,2007,with other qualifications,"277,500","3,215,000",8.6,0.4
E12000004,East Midlands,2007,with other qualifications,"234,500","2,740,500",8.6,0.5
E12000005,West Midlands,2007,with other qualifications,"259,800","3,355,400",7.7,0.4
E12000006,East,2007,with other qualifications,"326,500","3,467,300",9.4,0.5
E12000007,London,2007,with other qualifications,"749,900","5,160,700",14.5,0.5
E12000008,South East,2007,with other qualifications,"421,900","5,163,200",8.2,0.3
E12000009,South West,2007,with other qualifications,"251,000","3,125,900",8,0.4
E92000001,England,2007,with other qualifications,"2,924,300","32,137,500",9.1,0.1
W92000004,Wales,2007,with other qualifications,"132,400","1,834,800",7.2,0.3
S92000003,Scotland,2007,with other qualifications,"239,700","3,246,900",7.4,0.3
N92000002,Northern Ireland,2007,with other qualifications,"39,000","1,098,200",3.6,0.5
K04000001,England and Wales,2007,with other qualifications,"3,056,700","33,972,200",9,0.1
K03000001,Great Britain,2007,with other qualifications,"3,296,400","37,219,100",8.9,0.1
K02000001,United Kingdom,2007,with other qualifications,"3,335,500","38,317,300",8.7,0.1
E09000001,City of London,2007,with no qualifications,!,"3,400",!,!
E09000002,Barking and Dagenham,2007,with no qualifications,"24,700","103,500",23.8,3.6
E09000003,Barnet,2007,with no qualifications,"24,500","214,800",11.4,2.6
E09000004,Bexley,2007,with no qualifications,"18,700","138,000",13.6,2.8
E09000005,Brent,2007,with no qualifications,"16,900","189,100",8.9,2.6
E09000006,Bromley,2007,with no qualifications,"14,300","186,900",7.7,2.2
E09000007,Camden,2007,with no qualifications,"15,500","149,700",10.4,2.2
E09000008,Croydon,2007,with no qualifications,"35,900","222,800",16.1,3.1
E09000009,Ealing,2007,with no qualifications,"26,400","215,400",12.3,2.6
E09000010,Enfield,2007,with no qualifications,"27,800","185,800",15,3
E09000011,Greenwich,2007,with no qualifications,"21,400","156,400",13.7,2.8
E09000012,Hackney,2007,with no qualifications,"29,500","155,400",19,3
E09000013,Hammersmith and Fulham,2007,with no qualifications,"13,500","128,900",10.5,2.6
E09000014,Haringey,2007,with no qualifications,"24,200","163,500",14.8,2.9
E09000015,Harrow,2007,with no qualifications,"11,300","145,600",7.8,2.3
E09000016,Havering,2007,with no qualifications,"23,800","140,000",17,3.1
E09000017,Hillingdon,2007,with no qualifications,"21,900","164,800",13.3,3
E09000018,Hounslow,2007,with no qualifications,"20,600","160,000",12.9,2.8
E09000019,Islington,2007,with no qualifications,"18,900","136,100",13.9,2.7
E09000020,Kensington and Chelsea,2007,with no qualifications,"9,200","114,600",8.1,2.4
E09000021,Kingston upon Thames,2007,with no qualifications,"6,100","104,400",5.8,2.1
E09000022,Lambeth,2007,with no qualifications,"30,300","205,100",14.8,2.7
E09000023,Lewisham,2007,with no qualifications,"17,500","178,400",9.8,2.4
E09000024,Merton,2007,with no qualifications,"7,500","131,400",5.7,1.9
E09000025,Newham,2007,with no qualifications,"38,800","177,400",21.9,3.3
E09000026,Redbridge,2007,with no qualifications,"26,600","166,800",16,3.2
E09000027,Richmond upon Thames,2007,with no qualifications,"6,200","121,000",5.2,1.8
E09000028,Southwark,2007,with no qualifications,"30,300","192,500",15.7,3
E09000029,Sutton,2007,with no qualifications,"17,000","117,400",14.4,3.3
E09000030,Tower Hamlets,2007,with no qualifications,"30,000","158,700",18.9,3.2
E09000031,Waltham Forest,2007,with no qualifications,"31,300","155,600",20.1,3.5
E09000032,Wandsworth,2007,with no qualifications,"11,600","214,000",5.4,2.1
E09000033,Westminster,2007,with no qualifications,"15,800","163,400",9.6,2.2
E12000001,North East,2007,with no qualifications,"223,700","1,594,600",14,0.6
E12000002,North West,2007,with no qualifications,"654,000","4,314,800",15.2,0.4
E12000003,Yorkshire and The Humber,2007,with no qualifications,"472,700","3,215,000",14.7,0.5
E12000004,East Midlands,2007,with no qualifications,"376,600","2,740,500",13.7,0.6
E12000005,West Midlands,2007,with no qualifications,"576,500","3,355,400",17.2,0.6
E12000006,East,2007,with no qualifications,"440,100","3,467,300",12.7,0.6
E12000007,London,2007,with no qualifications,"667,900","5,160,700",12.9,0.5
E12000008,South East,2007,with no qualifications,"507,900","5,163,200",9.8,0.4
E12000009,South West,2007,with no qualifications,"298,300","3,125,900",9.5,0.5
E92000001,England,2007,with no qualifications,"4,217,800","32,137,500",13.1,0.2
W92000004,Wales,2007,with no qualifications,"284,800","1,834,800",15.5,0.5
S92000003,Scotland,2007,with no qualifications,"444,400","3,246,900",13.7,0.4
N92000002,Northern Ireland,2007,with no qualifications,"242,800","1,098,200",22.1,1.2
K04000001,England and Wales,2007,with no qualifications,"4,502,600","33,972,200",13.3,0.2
K03000001,Great Britain,2007,with no qualifications,"4,947,000","37,219,100",13.3,0.1
K02000001,United Kingdom,2007,with no qualifications,"5,189,800","38,317,300",13.5,0.1
E09000001,City of London,2008,NVQ4+,"4,700","6,600",71.6,*
E09000002,Barking and Dagenham,2008,NVQ4+,"22,200","108,400",20.5,3.2
E09000003,Barnet,2008,NVQ4+,"91,300","223,100",40.9,3.8
E09000004,Bexley,2008,NVQ4+,"35,800","143,500",24.9,3.8
E09000005,Brent,2008,NVQ4+,"53,900","198,600",27.2,3.6
E09000006,Bromley,2008,NVQ4+,"62,000","194,200",31.9,4
E09000007,Camden,2008,NVQ4+,"78,500","151,200",51.9,3.6
E09000008,Croydon,2008,NVQ4+,"76,600","231,500",33.1,4.3
E09000009,Ealing,2008,NVQ4+,"92,100","225,800",40.8,4.2
E09000010,Enfield,2008,NVQ4+,"61,800","192,600",32.1,3.6
E09000011,Greenwich,2008,NVQ4+,"58,400","159,700",36.6,4.2
E09000012,Hackney,2008,NVQ4+,"74,700","163,500",45.7,3.8
E09000013,Hammersmith and Fulham,2008,NVQ4+,"66,700","129,600",51.4,4.2
E09000014,Haringey,2008,NVQ4+,"70,600","171,900",41.1,4
E09000015,Harrow,2008,NVQ4+,"42,400","149,000",28.5,3.6
E09000016,Havering,2008,NVQ4+,"28,700","147,100",19.5,3.2
E09000017,Hillingdon,2008,NVQ4+,"42,000","170,600",24.6,3.4
E09000018,Hounslow,2008,NVQ4+,"57,500","163,600",35.2,4.1
E09000019,Islington,2008,NVQ4+,"65,800","140,700",46.8,3.8
E09000020,Kensington and Chelsea,2008,NVQ4+,"63,300","117,300",54,4.3
E09000021,Kingston upon Thames,2008,NVQ4+,"54,600","106,800",51.1,4.3
E09000022,Lambeth,2008,NVQ4+,"89,300","209,600",42.6,3.9
E09000023,Lewisham,2008,NVQ4+,"72,000","186,400",38.6,3.8
E09000024,Merton,2008,NVQ4+,"50,500","133,500",37.8,4.5
E09000025,Newham,2008,NVQ4+,"45,700","188,500",24.3,3.3
E09000026,Redbridge,2008,NVQ4+,"61,900","174,800",35.4,3.8
E09000027,Richmond upon Thames,2008,NVQ4+,"69,800","124,100",56.3,4.2
E09000028,Southwark,2008,NVQ4+,"89,200","197,700",45.1,3.8
E09000029,Sutton,2008,NVQ4+,"34,000","122,100",27.9,4.1
E09000030,Tower Hamlets,2008,NVQ4+,"60,400","168,400",35.9,3.6
E09000031,Waltham Forest,2008,NVQ4+,"47,100","163,900",28.7,3.7
E09000032,Wandsworth,2008,NVQ4+,"123,400","219,500",56.2,4.4
E09000033,Westminster,2008,NVQ4+,"79,200","161,300",49.1,3.7
E12000001,North East,2008,NVQ4+,"389,800","1,657,300",23.5,0.7
E12000002,North West,2008,NVQ4+,"1,133,500","4,474,400",25.3,0.5
E12000003,Yorkshire and The Humber,2008,NVQ4+,"830,900","3,342,600",24.9,0.7
E12000004,East Midlands,2008,NVQ4+,"711,800","2,852,700",25,0.8
E12000005,West Midlands,2008,NVQ4+,"847,100","3,487,500",24.3,0.7
E12000006,East,2008,NVQ4+,"927,600","3,613,600",25.7,0.7
E12000007,London,2008,NVQ4+,"2,026,100","5,344,800",37.9,0.7
