Code,Area,Year,Qualifications of working age population (16-64),number,denominator,percent,confidence
E12000008,South East,2005,NVQ3 only,"829,800","5,051,900",16.4,0.4
E12000009,South West,2005,NVQ3 only,"509,000","3,061,200",16.6,0.4
E92000001,England,2005,NVQ3 only,"4,717,600","31,517,400",15,0.1
W92000004,Wales,2005,NVQ3 only,"268,900","1,802,000",14.9,0.4
S92000003,Scotland,2005,NVQ3 only,"504,100","3,206,700",15.7,0.4
N92000002,Northern Ireland,2005,NVQ3 only,"138,200","1,071,700",12.9,1
K04000001,England and Wales,2005,NVQ3 only,"4,986,500","33,319,400",15,0.1
K03000001,Great Britain,2005,NVQ3 only,"5,490,600","36,526,100",15,0.1
K02000001,United Kingdom,2005,NVQ3 only,"5,628,800","37,597,700",15,0.1
E09000001,City of London,2005,Trade Apprenticeships,!,"8,000",!,!
E09000002,Barking and Dagenham,2005,Trade Apprenticeships,"4,300","102,400",4.2,1.7
E09000003,Barnet,2005,Trade Apprenticeships,"5,600","212,000",2.7,1.5
E09000004,Bexley,2005,Trade Apprenticeships,"6,300","135,400",4.7,1.9
E09000005,Brent,2005,Trade Apprenticeships,"6,700","180,700",3.7,1.6
E09000006,Bromley,2005,Trade Apprenticeships,"8,100","183,400",4.4,1.7
E09000007,Camden,2005,Trade Apprenticeships,"3,100","149,100",2.1,1.3
E09000008,Croydon,2005,Trade Apprenticeships,"7,900","217,000",3.6,1.5
E09000009,Ealing,2005,Trade Apprenticeships,"4,800","211,700",2.3,1.1
E09000010,Enfield,2005,Trade Apprenticeships,"9,500","180,000",5.3,2
E09000011,Greenwich,2005,Trade Apprenticeships,"8,900","151,200",5.9,1.9
E09000012,Hackney,2005,Trade Apprenticeships,"3,100","145,400",2.2,1.2
E09000013,Hammersmith and Fulham,2005,Trade Apprenticeships,"2,000","125,100",1.6,0.9
E09000014,Haringey,2005,Trade Apprenticeships,"3,000","157,300",1.9,1
E09000015,Harrow,2005,Trade Apprenticeships,"5,500","142,200",3.9,1.7
E09000016,Havering,2005,Trade Apprenticeships,"7,900","138,200",5.7,2.1
E09000017,Hillingdon,2005,Trade Apprenticeships,"10,900","160,500",6.8,2.1
E09000018,Hounslow,2005,Trade Apprenticeships,"5,500","150,100",3.7,1.5
E09000019,Islington,2005,Trade Apprenticeships,"3,000","130,600",2.3,1.2
E09000020,Kensington and Chelsea,2005,Trade Apprenticeships,"1,700","119,000",1.4,*
E09000021,Kingston upon Thames,2005,Trade Apprenticeships,"1,700","102,400",1.7,*
E09000022,Lambeth,2005,Trade Apprenticeships,"3,800","196,600",1.9,1.1
E09000023,Lewisham,2005,Trade Apprenticeships,"6,500","172,800",3.8,1.5
E09000024,Merton,2005,Trade Apprenticeships,"3,600","128,700",2.8,1.5
E09000025,Newham,2005,Trade Apprenticeships,"5,100","167,000",3.1,1.3
E09000026,Redbridge,2005,Trade Apprenticeships,"6,600","159,400",4.2,1.7
E09000027,Richmond upon Thames,2005,Trade Apprenticeships,"3,000","119,200",2.5,1.3
E09000028,Southwark,2005,Trade Apprenticeships,"2,600","182,900",1.4,*
E09000029,Sutton,2005,Trade Apprenticeships,"3,200","115,600",2.8,1.4
E09000030,Tower Hamlets,2005,Trade Apprenticeships,"2,000","146,500",1.4,*
E09000031,Waltham Forest,2005,Trade Apprenticeships,"3,700","149,400",2.4,1.2
E09000032,Wandsworth,2005,Trade Apprenticeships,"4,000","205,000",1.9,1.2
E09000033,Westminster,2005,Trade Apprenticeships,"3,600","160,900",2.2,1.1
E12000001,North East,2005,Trade Apprenticeships,"114,800","1,575,200",7.3,0.4
E12000002,North West,2005,Trade Apprenticeships,"270,600","4,250,600",6.4,0.3
E12000003,Yorkshire and The Humber,2005,Trade Apprenticeships,"198,400","3,167,600",6.3,0.3
E12000004,East Midlands,2005,Trade Apprenticeships,"170,000","2,691,100",6.3,0.3
E12000005,West Midlands,2005,Trade Apprenticeships,"163,400","3,299,900",5,0.3
E12000006,East,2005,Trade Apprenticeships,"192,800","3,414,000",5.6,0.3
E12000007,London,2005,Trade Apprenticeships,"157,200","5,005,900",3.1,0.3
E12000008,South East,2005,Trade Apprenticeships,"257,600","5,051,900",5.1,0.2
E12000009,South West,2005,Trade Apprenticeships,"173,800","3,061,200",5.7,0.3
E92000001,England,2005,Trade Apprenticeships,"1,698,700","31,517,400",5.4,0.1
W92000004,Wales,2005,Trade Apprenticeships,"94,200","1,802,000",5.2,0.3
S92000003,Scotland,2005,Trade Apprenticeships,"243,900","3,206,700",7.6,0.3
N92000002,Northern Ireland,2005,Trade Apprenticeships,"92,300","1,071,700",8.6,0.8
K04000001,England and Wales,2005,Trade Apprenticeships,"1,792,800","33,319,400",5.4,0.1
K03000001,Great Britain,2005,Trade Apprenticeships,"2,036,700","36,526,100",5.6,0.1
K02000001,United Kingdom,2005,Trade Apprenticeships,"2,129,000","37,597,700",5.7,0.1
E09000001,City of London,2005,NVQ2 only,!,"8,000",!,!
E09000002,Barking and Dagenham,2005,NVQ2 only,"12,900","102,400",12.6,2.8
E09000003,Barnet,2005,NVQ2 only,"23,400","212,000",11.1,2.9
E09000004,Bexley,2005,NVQ2 only,"27,300","135,400",20.2,3.6
E09000005,Brent,2005,NVQ2 only,"17,200","180,700",9.5,2.5
E09000006,Bromley,2005,NVQ2 only,"27,900","183,400",15.2,3
E09000007,Camden,2005,NVQ2 only,"12,500","149,100",8.4,2.5
E09000008,Croydon,2005,NVQ2 only,"32,300","217,000",14.9,2.8
E09000009,Ealing,2005,NVQ2 only,"20,500","211,700",9.7,2.3
E09000010,Enfield,2005,NVQ2 only,"20,200","180,000",11.2,2.8
E09000011,Greenwich,2005,NVQ2 only,"19,400","151,200",12.8,2.6
E09000012,Hackney,2005,NVQ2 only,"14,200","145,400",9.7,2.4
E09000013,Hammersmith and Fulham,2005,NVQ2 only,"8,100","125,100",6.5,1.9
E09000014,Haringey,2005,NVQ2 only,"17,100","157,300",10.9,2.3
E09000015,Harrow,2005,NVQ2 only,"18,300","142,200",12.9,3
E09000016,Havering,2005,NVQ2 only,"23,100","138,200",16.7,3.3
E09000017,Hillingdon,2005,NVQ2 only,"23,200","160,500",14.5,2.9
E09000018,Hounslow,2005,NVQ2 only,"17,400","150,100",11.6,2.6
E09000019,Islington,2005,NVQ2 only,"12,100","130,600",9.3,2.3
E09000020,Kensington and Chelsea,2005,NVQ2 only,"10,500","119,000",8.8,2.3
E09000021,Kingston upon Thames,2005,NVQ2 only,"12,900","102,400",12.6,2.8
E09000022,Lambeth,2005,NVQ2 only,"22,200","196,600",11.3,2.6
E09000023,Lewisham,2005,NVQ2 only,"17,600","172,800",10.2,2.4
E09000024,Merton,2005,NVQ2 only,"12,900","128,700",10,2.6
E09000025,Newham,2005,NVQ2 only,"20,900","167,000",12.5,2.6
E09000026,Redbridge,2005,NVQ2 only,"22,500","159,400",14.1,3
E09000027,Richmond upon Thames,2005,NVQ2 only,"13,300","119,200",11.1,2.5
E09000028,Southwark,2005,NVQ2 only,"14,500","182,900",7.9,2.3
E09000029,Sutton,2005,NVQ2 only,"18,700","115,600",16.1,3.2
E09000030,Tower Hamlets,2005,NVQ2 only,"11,700","146,500",8,2.1
E09000031,Waltham Forest,2005,NVQ2 only,"22,900","149,400",15.3,2.8
E09000032,Wandsworth,2005,NVQ2 only,"15,700","205,000",7.7,2.4
E09000033,Westminster,2005,NVQ2 only,"13,400","160,900",8.4,2.2
E12000001,North East,2005,NVQ2 only,"287,100","1,575,200",18.2,0.6
E12000002,North West,2005,NVQ2 only,"693,000","4,250,600",16.3,0.4
E12000003,Yorkshire and The Humber,2005,NVQ2 only,"514,500","3,167,600",16.2,0.5
E12000004,East Midlands,2005,NVQ2 only,"408,700","2,691,100",15.2,0.5
E12000005,West Midlands,2005,NVQ2 only,"564,200","3,299,900",17.1,0.5
E12000006,East,2005,NVQ2 only,"582,800","3,414,000",17.1,0.5
E12000007,London,2005,NVQ2 only,"576,900","5,005,900",11.5,0.5
E12000008,South East,2005,NVQ2 only,"819,900","5,051,900",16.2,0.4
E12000009,South West,2005,NVQ2 only,"531,400","3,061,200",17.4,0.5
E92000001,England,2005,NVQ2 only,"4,978,500","31,517,400",15.8,0.1
W92000004,Wales,2005,NVQ2 only,"317,700","1,802,000",17.6,0.5
S92000003,Scotland,2005,NVQ2 only,"438,300","3,206,700",13.7,0.4
N92000002,Northern Ireland,2005,NVQ2 only,"187,000","1,071,700",17.4,1.1
K04000001,England and Wales,2005,NVQ2 only,"5,296,300","33,319,400",15.9,0.1
K03000001,Great Britain,2005,NVQ2 only,"5,734,600","36,526,100",15.7,0.1
K02000001,United Kingdom,2005,NVQ2 only,"5,921,500","37,597,700",15.7,0.1
E09000001,City of London,2005,NVQ1 only,!,"8,000",!,!
E09000002,Barking and Dagenham,2005,NVQ1 only,"20,200","102,400",19.7,3.3
E09000003,Barnet,2005,NVQ1 only,"14,800","212,000",7,2.3
E09000004,Bexley,2005,NVQ1 only,"25,700","135,400",19,3.5
E09000005,Brent,2005,NVQ1 only,"10,600","180,700",5.8,2
E09000006,Bromley,2005,NVQ1 only,"23,400","183,400",12.8,2.8
E09000007,Camden,2005,NVQ1 only,"11,900","149,100",8,2.4
E09000008,Croydon,2005,NVQ1 only,"32,300","217,000",14.9,2.8
E09000009,Ealing,2005,NVQ1 only,"18,400","211,700",8.7,2.2
E09000010,Enfield,2005,NVQ1 only,"31,500","180,000",17.5,3.4
E09000011,Greenwich,2005,NVQ1 only,"19,200","151,200",12.7,2.6
E09000012,Hackney,2005,NVQ1 only,"11,200","145,400",7.7,2.2
E09000013,Hammersmith and Fulham,2005,NVQ1 only,"10,500","125,100",8.4,2.1
E09000014,Haringey,2005,NVQ1 only,"13,600","157,300",8.6,2.1
E09000015,Harrow,2005,NVQ1 only,"12,500","142,200",8.8,2.6
E09000016,Havering,2005,NVQ1 only,"27,600","138,200",20,3.6
E09000017,Hillingdon,2005,NVQ1 only,"16,400","160,500",10.2,2.5
E09000018,Hounslow,2005,NVQ1 only,"20,000","150,100",13.3,2.8
E09000019,Islington,2005,NVQ1 only,"11,300","130,600",8.7,2.3
E09000020,Kensington and Chelsea,2005,NVQ1 only,"6,100","119,000",5.1,1.8
E09000021,Kingston upon Thames,2005,NVQ1 only,"9,600","102,400",9.3,2.5
E09000022,Lambeth,2005,NVQ1 only,"14,600","196,600",7.4,2.2
E09000023,Lewisham,2005,NVQ1 only,"21,200","172,800",12.3,2.6
E09000024,Merton,2005,NVQ1 only,"13,700","128,700",10.7,2.7
E09000025,Newham,2005,NVQ1 only,"18,500","167,000",11.1,2.5
E09000026,Redbridge,2005,NVQ1 only,"19,600","159,400",12.3,2.8
E09000027,Richmond upon Thames,2005,NVQ1 only,"6,200","119,200",5.2,1.8
E09000028,Southwark,2005,NVQ1 only,"13,200","182,900",7.2,2.2
E09000029,Sutton,2005,NVQ1 only,"17,200","115,600",14.9,3.1
E09000030,Tower Hamlets,2005,NVQ1 only,"14,200","146,500",9.7,2.3
E09000031,Waltham Forest,2005,NVQ1 only,"15,700","149,400",10.5,2.4
E09000032,Wandsworth,2005,NVQ1 only,"13,300","205,000",6.5,2.2
E09000033,Westminster,2005,NVQ1 only,"7,700","160,900",4.8,1.7
E12000001,North East,2005,NVQ1 only,"244,400","1,575,200",15.5,0.5
E12000002,North West,2005,NVQ1 only,"622,100","4,250,600",14.6,0.4
E12000003,Yorkshire and The Humber,2005,NVQ1 only,"487,600","3,167,600",15.4,0.5
E12000004,East Midlands,2005,NVQ1 only,"441,100","2,691,100",16.4,0.5
E12000005,West Midlands,2005,NVQ1 only,"480,500","3,299,900",14.6,0.4
E12000006,East,2005,NVQ1 only,"557,900","3,414,000",16.3,0.4
E12000007,London,2005,NVQ1 only,"522,700","5,005,900",10.4,0.4
E12000008,South East,2005,NVQ1 only,"757,700","5,051,900",15,0.3
E12000009,South West,2005,NVQ1 only,"483,900","3,061,200",15.8,0.4
E92000001,England,2005,NVQ1 only,"4,597,700","31,517,400",14.6,0.1
W92000004,Wales,2005,NVQ1 only,"257,200","1,802,000",14.3,0.4
S92000003,Scotland,2005,NVQ1 only,"344,100","3,206,700",10.7,0.3
N92000002,Northern Ireland,2005,NVQ1 only,"119,400","1,071,700",11.1,0.9
K04000001,England and Wales,2005,NVQ1 only,"4,854,900","33,319,400",14.6,0.1
K03000001,Great Britain,2005,NVQ1 only,"5,199,000","36,526,100",14.2,0.1
K02000001,United Kingdom,2005,NVQ1 only,"5,318,400","37,597,700",14.1,0.1
E09000001,City of London,2005,with other qualifications,!,"8,000",!,!
E09000002,Barking and Dagenham,2005,with other qualifications,"14,300","102,400",13.9,2.9
E09000003,Barnet,2005,with other qualifications,"32,900","212,000",15.5,3.3
E09000004,Bexley,2005,with other qualifications,"11,200","135,400",8.3,2.5
E09000005,Brent,2005,with other qualifications,"45,200","180,700",25,3.7
E09000006,Bromley,2005,with other qualifications,"18,500","183,400",10.1,2.5
E09000007,Camden,2005,with other qualifications,"21,900","149,100",14.7,3.2
E09000008,Croydon,2005,with other qualifications,"24,600","217,000",11.3,2.5
E09000009,Ealing,2005,with other qualifications,"47,800","211,700",22.6,3.2
E09000010,Enfield,2005,with other qualifications,"21,200","180,000",11.8,2.9
E09000011,Greenwich,2005,with other qualifications,"19,900","151,200",13.1,2.7
E09000012,Hackney,2005,with other qualifications,"27,200","145,400",18.7,3.2
E09000013,Hammersmith and Fulham,2005,with other qualifications,"17,700","125,100",14.1,2.6
E09000014,Haringey,2005,with other qualifications,"27,400","157,300",17.4,2.8
E09000015,Harrow,2005,with other qualifications,"31,600","142,200",22.2,3.8
E09000016,Havering,2005,with other qualifications,"11,600","138,200",8.4,2.5
E09000017,Hillingdon,2005,with other qualifications,"23,600","160,500",14.7,2.9
E09000018,Hounslow,2005,with other qualifications,"26,500","150,100",17.7,3.1
E09000019,Islington,2005,with other qualifications,"15,900","130,600",12.2,2.6
E09000020,Kensington and Chelsea,2005,with other qualifications,"19,500","119,000",16.4,3
E09000021,Kingston upon Thames,2005,with other qualifications,"15,300","102,400",15,3
E09000022,Lambeth,2005,with other qualifications,"22,800","196,600",11.6,2.7
E09000023,Lewisham,2005,with other qualifications,"31,300","172,800",18.1,3.1
E09000024,Merton,2005,with other qualifications,"14,300","128,700",11.1,2.8
E09000025,Newham,2005,with other qualifications,"34,400","167,000",20.6,3.2
E09000026,Redbridge,2005,with other qualifications,"22,200","159,400",13.9,3
E09000027,Richmond upon Thames,2005,with other qualifications,"14,700","119,200",12.3,2.7
E09000028,Southwark,2005,with other qualifications,"17,700","182,900",9.7,2.5
E09000029,Sutton,2005,with other qualifications,"7,800","115,600",6.8,2.2
E09000030,Tower Hamlets,2005,with other qualifications,"27,600","146,500",18.9,3
E09000031,Waltham Forest,2005,with other qualifications,"30,900","149,400",20.7,3.2
E09000032,Wandsworth,2005,with other qualifications,"30,600","205,000",14.9,3.2
E09000033,Westminster,2005,with other qualifications,"35,600","160,900",22.1,3.2
E12000001,North East,2005,with other qualifications,"104,500","1,575,200",6.6,0.4
E12000002,North West,2005,with other qualifications,"266,400","4,250,600",6.3,0.3
E12000003,Yorkshire and The Humber,2005,with other qualifications,"258,100","3,167,600",8.1,0.4
E12000004,East Midlands,2005,with other qualifications,"216,600","2,691,100",8,0.4
E12000005,West Midlands,2005,with other qualifications,"265,600","3,299,900",8,0.3
E12000006,East,2005,with other qualifications,"269,500","3,414,000",7.9,0.3
