Code,Area,Year,Sex,Pupils,Attainment8,Progress8
E09000017,Hillingdon,2016/17,Girls,1444,50.4,0.4
E09000018,Hounslow,2016/17,Girls,1249,50.7,0.57
E09000019,Islington,2016/17,Girls,662,47.5,0.35
E09000020,Kensington and Chelsea,2016/17,Girls,306,54.2,0.62
E09000021,Kingston upon Thames,2016/17,Girls,791,57.6,0.6
E09000022,Lambeth,2016/17,Girls,933,48,0.16
E09000023,Lewisham,2016/17,Girls,1082,47.2,-0.05
E09000024,Merton,2016/17,Girls,695,53,0.7
E09000025,Newham,2016/17,Girls,1770,50.7,0.56
E09000026,Redbridge,2016/17,Girls,1641,54.4,0.69
E09000027,Richmond upon Thames,2016/17,Girls,676,56.2,0.39
E09000028,Southwark,2016/17,Girls,1219,51.8,0.37
E09000029,Sutton,2016/17,Girls,1341,57.8,0.43
E09000030,Tower Hamlets,2016/17,Girls,1320,50.3,0.54
E09000031,Waltham Forest,2016/17,Girls,1232,47.9,0.38
E09000032,Wandsworth,2016/17,Girls,770,51.1,0.31
E09000033,Westminster,2016/17,Girls,808,57,0.76
E13000001,Inner London,2016/17,Girls,12488,50.8,0.41
E13000002,Outer London,2016/17,Girls,24787,51.9,0.44
E12000001,North East,2016/17,Girls,12306,47.4,-0.01
E12000002,North West,2016/17,Girls,35662,48.3,0.07
E12000003,Yorkshire and the Humber,2016/17,Girls,26167,47.8,0.22
E12000004,East Midlands,2016/17,Girls,22337,47.9,0.1
E12000005,West Midlands,2016/17,Girls,29218,48.1,0.14
E12000006,East,2016/17,Girls,29753,49.4,0.21
E12000007,London,2016/17,Girls,37275,51.5,0.43
E12000008,South East,2016/17,Girls,40792,50.3,0.21
E12000009,South West,2016/17,Girls,24600,49.1,0.1
E92000001,England,2016/17,Girls,258110,49.1,0.18
E09000001,City of London,2015/16,All,.,.,.
E09000002,Barking and Dagenham,2015/16,All,2201,49.7,0.15
E09000003,Barnet,2015/16,All,3647,56.1,0.33
E09000004,Bexley,2015/16,All,3192,52.2,-0.04
E09000005,Brent,2015/16,All,3035,51.5,0.31
E09000006,Bromley,2015/16,All,3305,53.7,0.1
E09000007,Camden,2015/16,All,1422,50.6,0
E09000008,Croydon,2015/16,All,3844,48.5,0.08
E09000009,Ealing,2015/16,All,2781,50.9,0.28
E09000010,Enfield,2015/16,All,3579,50.4,0.05
E09000011,Greenwich,2015/16,All,2204,49.6,-0.01
E09000012,Hackney,2015/16,All,2038,52.5,0.35
E09000013,Hammersmith and Fulham,2015/16,All,1350,54.1,0.12
E09000014,Haringey,2015/16,All,2231,50.1,0.28
E09000015,Harrow,2015/16,All,2127,53.1,0.32
E09000016,Havering,2015/16,All,2917,50,-0.14
E09000017,Hillingdon,2015/16,All,3136,51.2,0.06
E09000018,Hounslow,2015/16,All,2667,51.1,0.29
E09000019,Islington,2015/16,All,1397,50.6,0.19
E09000020,Kensington and Chelsea,2015/16,All,740,56.6,0.34
E09000021,Kingston upon Thames,2015/16,All,1515,58.2,0.34
E09000022,Lambeth,2015/16,All,1887,49.7,0.06
E09000023,Lewisham,2015/16,All,2334,47.5,-0.14
E09000024,Merton,2015/16,All,1440,52.4,0.27
E09000025,Newham,2015/16,All,3489,50.9,0.23
E09000026,Redbridge,2015/16,All,3363,53.9,0.28
E09000027,Richmond upon Thames,2015/16,All,1367,54.6,0.1
E09000028,Southwark,2015/16,All,2386,52.9,0.22
E09000029,Sutton,2015/16,All,2667,58.7,0.17
E09000030,Tower Hamlets,2015/16,All,2570,50.2,0.15
E09000031,Waltham Forest,2015/16,All,2539,50.4,0.23
E09000032,Wandsworth,2015/16,All,1660,52.1,0.15
E09000033,Westminster,2015/16,All,1566,54.5,0.32
E13000001,Inner London,2015/16,All,25070,51.3,0.17
E13000002,Outer London,2015/16,All,51526,52.3,0.16
E12000001,North East,2015/16,All,26076,48.7,-0.16
E12000002,North West,2015/16,All,74057,49.4,-0.15
E12000003,Yorkshire and the Humber,2015/16,All,54562,48.9,-0.03
E12000004,East Midlands,2015/16,All,47204,48.9,-0.14
E12000005,West Midlands,2015/16,All,60215,49.2,-0.08
E12000006,East,2015/16,All,61059,50.4,0.03
E12000007,London,2015/16,All,76596,51.9,0.16
E12000008,South East,2015/16,All,85618,51,0.02
E12000009,South West,2015/16,All,52421,50.3,-0.05
E92000001,England,2015/16,All,537808,50.1,-0.03
E09000001,City of London,2015/16,Boys,.,.,.
E09000002,Barking and Dagenham,2015/16,Boys,1110,47.6,-0.02
E09000003,Barnet,2015/16,Boys,1856,54.6,0.22
E09000004,Bexley,2015/16,Boys,1641,50,-0.16
E09000005,Brent,2015/16,Boys,1515,49.2,0.15
E09000006,Bromley,2015/16,Boys,1587,52.4,0.04
E09000007,Camden,2015/16,Boys,605,45.8,-0.3
E09000008,Croydon,2015/16,Boys,1885,45.1,-0.07
E09000009,Ealing,2015/16,Boys,1427,48.5,0.13
E09000010,Enfield,2015/16,Boys,1808,48.2,-0.12
E09000011,Greenwich,2015/16,Boys,1093,47.7,-0.1
E09000012,Hackney,2015/16,Boys,916,49.5,0.23
E09000013,Hammersmith and Fulham,2015/16,Boys,649,51.3,-0.02
E09000014,Haringey,2015/16,Boys,1112,47.5,0.18
E09000015,Harrow,2015/16,Boys,1063,50.7,0.11
E09000016,Havering,2015/16,Boys,1481,48.3,-0.28
E09000017,Hillingdon,2015/16,Boys,1637,49.4,-0.05
E09000018,Hounslow,2015/16,Boys,1354,48.8,0.15
E09000019,Islington,2015/16,Boys,761,49.7,0.12
E09000020,Kensington and Chelsea,2015/16,Boys,430,56.1,0.29
E09000021,Kingston upon Thames,2015/16,Boys,703,56.5,0.26
E09000022,Lambeth,2015/16,Boys,970,47.2,-0.09
E09000023,Lewisham,2015/16,Boys,1236,44.2,-0.35
E09000024,Merton,2015/16,Boys,731,50.3,0.1
E09000025,Newham,2015/16,Boys,1780,48.9,0.1
E09000026,Redbridge,2015/16,Boys,1747,51.5,0.11
E09000027,Richmond upon Thames,2015/16,Boys,638,52.1,-0.07
